objectid,title,creator,category,date,publisher,media-format,format,youtubeid,filename,link
coll001,Five Reasons Why Librarians Choose Genrefication for Their School,JLG Blog Manager,explanatory piece; practical guide,2021,Junior Library Guild,blog/website,record,,https://www.juniorlibraryguild.com/blog/post/five-reasons-why-librarians-choose-genrefication-for-their-school-libraries,
coll002,Genrefication-3 Years Later,Kelsy Bogan,explanatory piece,2021-10-12,Kelsey Bogan,blog/website,record,,https://dontyoushushme.com/2021/10/12/genrefication-3-years-later/,
coll003,Ditching Dewey? These Ideas Can Get You Started on Genrefication,April Witteveen,explanatory piece; practical guide,2019-09-25,School Library Journal,website,record,,https://www.slj.com/story/ditching-dewey-libraries-These-Ideas-Can-Get-You-Started-on-Genrefication,
coll004,The Switch to Genrefication,Julia Torres,explanatory piece,2021-09-01,american libraries,magazine website,record,,https://americanlibrariesmagazine.org/2021/09/01/the-switch-to-genrefication/,
coll005,Ramblings: Genrefication Myths and Questions Answered,Madison Dearnaley,explanatory piece; practical guide,2023-01-15,Madison's Library,blog/website,record,,https://madisonslibrary.com/2023/01/15/ramblings-genrefication-myths-answered/,
coll006,"A School Librarian on Genrefication - Thing to Do, Traps to Avoid, and Surprising Benefits",Sara Douglas,practical guide,2019-07-21,YouTube,video,video/mp4,MKTwcicP1tI,,
coll007,The Effects of Genrefication of FIction on the Book Selection Process in Elementary Schools,Jana M. Potter,academic study,2016,St. Cloud State University,article,record,,https://repository.stcloudstate.edu/cgi/viewcontent.cgi?article=1004&context=im_etds,
coll008,Genrefying the Children's Fiction Collection,Alyssa G. Sultanik,academic study,2020-07-01,Research Journal of the American Association of School Librarians,article,record,,https://www.ala.org/aasl/sites/ala.org.aasl/files/content/pubs/slr/vol23/SLR_GenrefyingChildrensCollection_V23.pdf,
coll009,How to Genrefy a Library: A Beginner's Guide to Getting Started,Megan Mabee,practical guide,2020-10-26,BookRiot,article,record,,https://bookriot.com/how-to-genrefy-a-library/,
coll010,Genrefication 101: A School Librarian's Quick Guide - HowExperet,Laura Holladay,explanatory piece,2019-11-12,YouTube,video,video/mp4,CxE3YYqc2j4,,
coll011,Ditching Dewey: Labeling the Books,Tiffany Whitehead,explanatory piece; practical guide,2013-12-01,Tiffany Whitehead,blog/website,record,,http://www.mightylittlelibrarian.com/?p=1040,
coll012,The Library Genrification Project,Leigh Collazo,explanatory piece; practical guide,2011-09-10,Leigh Collazo,blog/website,record,,https://www.readerpants.net/2011/09/genrefication-project.html,
coll013,The genrified library: How one elementary librarian made the transition,Meredith Wemhoff,practical guide,2020-01-10,Overdrive,website,record,,https://company.overdrive.com/2020/01/10/the-genrefied-library-how-one-elementary-librarian-made-the-transition/,
coll014,Genrefication: Beyond the buzzword,Madison Dearnaley,explanatory piece,2022-01-24,Softlink Education,blog/website,record,,https://www.softlinkint.com/blog/genrefication-beyond-the-buzzword/,
coll015,Genrefication Best Practices,Follett,explanatory piece; practical guide,2019,Follett,website,record,,https://www.titlewave.com/pdf/genrefication-best-practices.pdf,
coll016,The Racist Undertone of the Dewey Decimal System,Forrest Evans,explanatory guide,2020-12-08,Bookshelf Blog,website,record,,"https://www.bookclub.com/blog/the-racist-undertone-of-the-dewey-decimal-system#:~:text=Dewey's%20system%20also%20classified%20work,Howard%20University%20librarian%20Dorothy%20Porter.",
